id;numero_ioc;date_debut_conso;date_fin_conso;index_debut;index_fin;date_visite;date_creation;id_user_creation
1;Sleek bandwidth;2023-11-02;2023-11-02;74760;167;2023-11-02;2023-11-03;17924
2;indigo;2023-11-03;2023-11-03;23731;404;2023-11-03;2023-11-03;15619
3;Unbranded;2023-11-02;2023-11-03;65584;44835;2023-11-03;2023-11-03;79925
4;Marcadet Unbranded redundant;2023-11-02;2023-11-02;16446;59121;2023-11-02;2023-11-03;33291
5;Leu;2023-11-03;2023-11-03;38862;984;2023-11-03;2023-11-02;37763
6;SSL;2023-11-03;2023-11-03;16035;84104;2023-11-02;2023-11-03;44962
7;Bedfordshire policy monitor;2023-11-02;2023-11-03;51384;6984;2023-11-03;2023-11-03;1628
8;Tuna index;2023-11-02;2023-11-03;94408;53812;2023-11-03;2023-11-02;15899
9;Avon Som Cotton;2023-11-03;2023-11-03;54590;35201;2023-11-03;2023-11-03;1243
10;panel internet RAM;2023-11-03;2023-11-03;40481;35548;2023-11-02;2023-11-03;54774
