id;code_memoire;intitule_memoire;date_memoire;id_fournisseur;id_dlc;id_ville;montant_ttc;montant_tva_7;montant_ht_7;montant_tva_14;montant_ht_14;montant_tva_20;montant_ht_20;montant_tva_manue;diverses_taxes;date_comptable;num_piece_sap;num_ov;date_comptable_reelle;date_ov;statut_memoire;date_creation;date_validation;date_rejet;date_comptabilisation;date_paiement;date_devalidation;date_modification;motif_rejet;id_user_creation;id_user_validation;id_user_rejet;id_user_comptabilisation;id_user_paiement;id_user_devalidation;id_user_modification
1;Table;haptic proactive Re-engineered;2023-11-02;61369;44295;17138;17183;23935;27448;6005;93440;68552;17562;23048;38531;2023-11-03;20003;95332;2023-11-02;2023-11-03;action-items;2023-11-02;2023-11-03;2023-11-03;2023-11-03;2023-11-02;2023-11-03;2023-11-03;bluetooth synergistic cohesive;68861;19691;15765;61084;76046;64819;41043
2;b calculate Shoes;engage;2023-11-03;15624;71271;77881;58803;82227;47148;91472;12710;76089;96436;408;70400;2023-11-02;71036;89749;2023-11-02;2023-11-03;grey generating;2023-11-02;2023-11-02;2023-11-02;2023-11-03;2023-11-03;2023-11-03;2023-11-03;Account Soft;87812;94420;74817;39660;38585;94821;44283
3;b;Mouse;2023-11-02;75378;74876;95970;96050;69124;13308;97298;9118;66535;2950;67942;89788;2023-11-02;75638;15336;2023-11-03;2023-11-03;b;2023-11-02;2023-11-03;2023-11-02;2023-11-03;2023-11-03;2023-11-02;2023-11-02;enable overriding revolutionize;65953;92444;21771;50372;19184;14215;44157
4;Solférino program local;compressing;2023-11-02;87017;8221;35981;30654;23476;34624;66655;99176;82173;94952;64345;2221;2023-11-03;82276;61480;2023-11-03;2023-11-02;Dollar;2023-11-02;2023-11-03;2023-11-03;2023-11-03;2023-11-02;2023-11-02;2023-11-02;card Picardie;18160;73778;10286;91284;33344;76432;53558
5;matrix content connecting;Small Card generate;2023-11-02;75704;2167;29262;70489;64083;47662;14536;22952;3763;14758;45917;47444;2023-11-02;71576;93330;2023-11-02;2023-11-02;Poitou-Charentes Rubber Rubber;2023-11-03;2023-11-02;2023-11-03;2023-11-02;2023-11-03;2023-11-02;2023-11-03;Shoes a;85596;73259;10143;66965;83734;70230;37574
6;Soft;Soft customized;2023-11-03;27588;1021;12457;80064;80788;2700;16076;35734;6905;50765;99702;13779;2023-11-03;48893;78767;2023-11-02;2023-11-02;Slovaquie;2023-11-03;2023-11-03;2023-11-02;2023-11-03;2023-11-02;2023-11-03;2023-11-03;system;9219;43298;96823;53656;20535;97547;14894
7;Wooden paradigms Music;Architecte;2023-11-02;75791;76255;40876;37690;10835;87211;53422;28317;6802;43426;65834;84387;2023-11-02;12165;37333;2023-11-02;2023-11-03;Mandatory Avon;2023-11-02;2023-11-03;2023-11-02;2023-11-03;2023-11-03;2023-11-03;2023-11-03;moderator Hat Avon;24423;91941;30931;74354;92151;67132;99850
8;monitor Cuban;Fish didactic withdrawal;2023-11-02;56928;16187;9644;62811;25299;13591;31212;83085;75288;37468;84992;44849;2023-11-03;66226;13224;2023-11-03;2023-11-02;communities;2023-11-03;2023-11-02;2023-11-02;2023-11-03;2023-11-03;2023-11-02;2023-11-02;yellow;32206;75845;95349;58254;14793;79773;1767
9;viral;c c functionalities;2023-11-02;42547;66044;70172;48332;92843;82849;85616;387;29356;1266;67532;19087;2023-11-02;58478;93656;2023-11-03;2023-11-03;Basse-Normandie;2023-11-02;2023-11-03;2023-11-03;2023-11-03;2023-11-03;2023-11-03;2023-11-03;AGP;56088;22097;45917;85384;20495;91027;79107
10;Ergonomic Focused Pound;wireless channels Technicien;2023-11-02;2302;22322;10716;34272;9001;34542;97960;62141;23806;97809;74160;29026;2023-11-03;14646;61197;2023-11-03;2023-11-02;Corse responsive;2023-11-02;2023-11-02;2023-11-02;2023-11-02;2023-11-03;2023-11-03;2023-11-03;Shoes;12721;35993;50142;22287;32718;62061;45756
