id;code_memoire;libelle_direction;libelle_dlc;statut_memoire
1;71074;Colombian;white recontextualize Soft;sensor
2;22384;tan Technicien Account;Frozen Lorraine;invoice
3;55826;cross-media b;cyan hack Concrete;hack
4;5909;driver Stand-alone bottom-line;withdrawal feed Account;bi-directional Moldavie La
5;202;withdrawal navigate;Metal Corse;Car Switchable b
6;25930;gold;invoice;Wooden
7;8412;a Cotton;Movies platforms virtual;input purple Rwanda
8;87868;Credit;Ukraine;Intuitive Producteur
9;5272;compelling;Marcadet;utilisation hacking Picardie
10;76160;Tools Aquitaine;Sports Afrique deposit;de
