id;id_dlc;id_direction_regionale;id_fournisseur;statut_piece_sap;libelle
1;2784;46417;90874;Cotton;Computer d'Assas
2;71170;72051;60950;a;Designer
3;12673;87482;83241;red;TCP Oberkampf green
4;22364;26797;68584;programming Garden;invoice RAM
5;58330;15313;29554;Ergonomic;Ameliorated a
6;41109;63052;84553;b;Producteur
7;42098;23782;22026;Granite salmon;bus b Bacon
8;46628;64563;63198;Ball intranet;Seamless Cotton
9;87066;38005;8897;e-business infomediaries Progressive;a
10;38962;27497;83101;solution Computers full-range;hack
